member_casual,hour_of_day,total_rides,avg_ride_length
casual,0,37504,16.24
casual,1,24135,16.92
casual,2,15946,16.1
casual,3,8808,15.89
casual,4,7130,14.19
casual,5,11441,14.25
casual,6,26400,13.45
casual,7,48864,14.02
casual,8,69714,15.21
casual,9,69156,20.21
casual,10,83310,23.84
casual,11,105973,23.99
casual,12,124970,22.94
casual,13,128778,23.01
casual,14,135435,22.73
casual,15,150878,21.26
casual,16,173292,19.7
casual,17,188046,18.88
casual,18,160276,18.46
casual,19,119143,18.35
casual,20,85618,17.66
casual,21,72915,17.14
casual,22,61270,17.02
casual,23,44052,17.63
member,0,31740,11.53
member,1,19385,11.7
member,2,11606,11.98
member,3,7554,12.51
member,4,8751,11.25
member,5,34756,10.84
member,6,101678,11.03
member,7,202539,11.24
member,8,262006,11.16
member,9,166838,11.05
member,10,142738,11.96
member,11,167269,12.26
member,12,190157,11.95
member,13,186246,12.2
member,14,189465,12.74
member,15,239856,12.7
member,16,342159,13.02
member,17,388869,13.14
member,18,299017,12.8
member,19,205629,12.52
member,20,142965,12.33
member,21,110938,12.3
member,22,80525,12.34
member,23,49937,12.42
