station_name,ride_count,rider_type
Kingsbury St & Kinzie St,23030,member
Canal St & Madison St,22285,member
Clinton St & Washington Blvd,21944,member
Clinton St & Madison St,20440,member
State St & Chicago Ave,19688,member
Wells St & Elm St,18954,member
Clark St & Elm St,18944,member
Clinton St & Jackson Blvd,18480,member
Wells St & Concord Ln,18402,member
Wells St & Huron St,18079,member
Canal St & Adams St,15877,member
Kingsbury St & Erie St,15580,member
University Ave & 57th St,15579,member
Desplaines St & Kinzie St,15553,member
Wells St & Hubbard St,15092,member
